context	label	split
This idea was inspired by <CITED HERE> , who used a list of arguments surrounding the main verb together with the verb 's subcategorization information and previously processed examples to analyse semantic roles ( case relations ) .	Motivation	train
, `` domain circumscription '' ( cfXXX <CITED HERE> ) , and their kin .	CompareOrContrast	train
While these approaches have been reasonably successful ( see Mitkov ( 2002 ) ) , <CITED HERE> speculate that deeper linguistic knowledge needs to be made available to resolvers in order to reach the next level of performance .	Background	train
A parsing experiment shows that an efficient HPSG parser with the obtained grammar achieved a significant speed-up against an existing LTAG parser ( <CITED HERE> ) .	CompareOrContrast	train
Features were discovered from the actual sentence plan trees that the SPG generated through the feature derivation process described below , in a manner similar to that used by <CITED HERE> .	CompareOrContrast	train
Such questions are typically answered by designing appropriate priming experiments ( <CITED HERE> ) or other lexical decision tasks .	Background	train
The system is in the form of an agenda-driven chart-based parser whose foundation is similar to previous formalizations of Chomsky 's Minimalist Program ( <CITED HERE> ; Harkema , 2000 ; Niyogi , 2001 ) .	CompareOrContrast	train
<CITED HERE> and Akkerman et al. ( 1985 ) provide a more detailed analysis of the information encoded by the LDOCE grammar codes and discuss their efficacy as a system of linguistic description .	Background	train
The research described below is taking place in the context of three collaborative projects ( Boguraev , 1987 ; Russell et al. , 1986 ; <CITED HERE> ) to develop a general-purpose , wide coverage morphological and syntactic analyser for English .	Background	train
The EDR has close ties to the named entity recognition ( NER ) and coreference resolution tasks , which have been the focus of several recent investigations ( Bikel et al. , 1997 ; Miller et al. , 1998 ; Borthwick , 1999 ; Mikheev et al. , 1999 ; Soon et al. , 2001 ; <CITED HERE> ; Florian et al. , 2004 ) , and have been at the center of evaluations such as : MUC-6 , MUC-7 , and the CoNLL '02 and CoNLL '03 shared tasks .	Background	train
Viewed in this way , gradable adjectives are an extreme example of the `` efficiency of language '' ( <CITED HERE> ) : Far from meaning something concrete like `` larger than 8 cm '' -- a concept that would have very limited applicability -- or even something more general like `` larger than the average N , '' a word like large is applicable across a wide range of different situations .	CompareOrContrast	train
However , since work in this direction has started , a significant progress has also been made in the research on statistical learning of full parsers , both in terms of accuracy and processing time ( Charniak , 1997b ; Charniak , 1997a ; <CITED HERE> ; Ratnaparkhi , 1997 ) .	Background	train
It is defined on different kinds of textual units , e.g. documents , parts of a document ( e.g. words and their surrounding context ) , words or concepts ( <CITED HERE> ) .2 Linguistic distance between words is inverse to their semantic similarity or relatedness .	Background	train
However , the greatest increase is in the amount of raw text available to be processed , e.g. the English Gigaword Corpus ( Linguistic Data <CITED HERE> ) .	Background	train
For example , such schema can serve as a mean to represent translation examples , or find structural correspondences for the purpose of transfer grammar learning ( Menezes & Richardson , 2001 ) , ( Aramaki et al. , 2001 ) , ( <CITED HERE> ) , ( Meyers et al. , 2000 ) , ( Matsumoto et al. , 1993 ) , ( kaji et al. , 1992 ) , and example-base machine translation EBMT3 ( Sato & Nagao , 1990 ) , ( Sato , 1991 ) , ( Richardson et al. , 2001 ) , ( Al-Adhaileh & Tang , 1999 ) .	Background	train
<CITED HERE> introduced the log-linear model for statistical machine translation ( SMT ) , in which translation is considered as the following optimization problem :	Background	train
Representative systems are described in Boisen et al. ( 1989 ) , De Mattia and Giachin ( 1989 ) , Niedermair ( 1989 ) , <CITED HERE> , and Young ( 1989 ) .	Background	train
For compound splitting , we follow <CITED HERE> , using linguistic knowledge encoded in a rule-based morphological analyser and then selecting the best analysis based on the geometric mean of word part frequencies .	Uses	train
<CITED HERE> showed that the use of a POS factor only results in negligible BLEU improvements , but we need access to the POS in our inflection prediction models .	Background	train
Over the last decade there has been a lot of interest in developing tutorial dialogue systems that understand student explanations ( Jordan et al. , 2006 ; Graesser et al. , 1999 ; Aleven et al. , 2001 ; Buckley and Wolska , 2007 ; Nielsen et al. , 2008 ; <CITED HERE> ) , because high percentages of selfexplanation and student contentful talk are known to be correlated with better learning in humanhuman tutoring ( Chi et al. , 1994 ; Litman et al. , 2009 ; Purandare and Litman , 2008 ; Steinhauser et al. , 2007 ) .	Background	train
We first identified the most informative unigrams and bigrams using the information gain measure ( <CITED HERE> ) , and then selected only the positive outcome predictors using odds ratio ( Mladenic and Grobelnik 1999 ) .	Uses	train
Recently , several alternative , often quite sophisticated approaches to collective classification have been proposed ( Neville and Jensen , 2000 ; Lafferty et al. , 2001 ; Getoor et al. , 2002 ; Taskar et al. , 2002 ; <CITED HERE> ; Taskar et al. , 2004 ; McCallum and Wellner , 2004 ) .	Background	train
It compares favorably to other stemming or root extraction algorithms ( <CITED HERE> ; Al-Shalabi and Evens , 1998 ; and Houmame , 1999 ) , with a performance of over 97 % for extracting the correct root in web documents , and it addresses the challenge of the Arabic broken plural and hollow verbs .	Motivation	train
We perceive that these results can be extended to other language models that properly embed bilexical context-free grammars , as for instance the more general history-based models used in ( <CITED HERE> ) and ( Chelba and Jelinek , 1998 ) .	Future	train
Clearly , what it takes for the adjective to be applicable has not been cast in stone , but is open to fiat : the speaker may decide that 8 cm is enough , or the speaker may set the standards higher ( cfXXX , <CITED HERE> ) .	Background	train
Many investigators ( e.g. <CITED HERE> ; Elowitz et al. 1976 ; Luce et al. 1983 ; Cahn 1988 ) have suggested that the poor prosody of synthetic speech , in comparison with natural speech , is the primary factor leading to difficulties in the comprehension of fluent synthetic speech .	Motivation	train
The PERSIVAL project , the most comprehensive study of such techniques applied on medical texts to date , leverages patient records to generate personalized summaries in response to physicians ' queries ( McKeown , Elhadad , and Hatzivassiloglou 2003 ; <CITED HERE> ) .	CompareOrContrast	train
See <CITED HERE> for further discussion .	Background	train
We gather similar words using <CITED HERE>a ) , mining similar verbs from a comparable-sized parsed corpus , and collecting similar nouns from a broader 10 GB corpus of English text .4 We also use Keller and Lapata ( 2003 ) 's approach to obtaining web-counts .	Uses	train
Thus , for example , it can acquire a `` script '' such as the one for going to a restaurant as defined in <CITED HERE> .	Background	train
ones , DIRT ( <CITED HERE> ) , VerbOcean ( Chklovski and Pantel , 2004 ) , FrameNet ( Baker et al. , 1998 ) , and Wikipedia ( Mehdad et al. , 2010 ; Kouylekov et al. , 2009 ) .	Background	train
There is some literature on procedure acquisition such as the LISP synthesis work described in Biermann et al. ( 1984 ) and the PROLOG synthesis method of <CITED HERE> .	CompareOrContrast	train
The system uses a domain-specific content planner to produce input to the surface realizer based on the strategy decision , and a FUF/SURGE ( <CITED HERE> ) generation system to produce the appropriate text .	Uses	train
However , each of these fields requires further decoding and restructuring to provide client programs with easy access to the information they require ( see <CITED HERE> for further discussion ) .	Background	train
Our results also confirm the insights gained by <CITED HERE> , who observed that in crossdomain polarity analysis adding more training data is not always beneficial .	CompareOrContrast	train
We consider the Creative Commons model as the most suitable one to let each author choose the rights to reserve ( <CITED HERE> ) .	Uses	train
It compares favorably to other stemming or root extraction algorithms ( Yates and Neto , 1999 ; Al-Shalabi and Evens , 1998 ; and <CITED HERE> ) , with a performance of over 97 % for extracting the correct root in web documents , and it addresses the challenge of the Arabic broken plural and hollow verbs .	Motivation	train
In a similar vein , <CITED HERE> showed that a different feature-topic model improved predictions on a fill-in-the-blank task .	Background	train
As ( <CITED HERE> ) show , lexical information improves on NP and VP chunking as well .	Future	train
But while Bod 's estimator obtains state-of-the-art results on the WSJ , comparable to Charniak ( 2000 ) and Collins ( 2000 ) , Bonnema et al. 's estimator performs worse and is comparable to <CITED HERE> .	Background	train
In multi-party discussion people usually mention each other 's name for the purpose of disentanglement ( <CITED HERE> ) .	Background	train
Fortunately , indirect associations are usually not difficult to identify , because they tend to be weaker than the direct associations on which they are based ( <CITED HERE>c ) .	Background	train
The work of <CITED HERE> and Steedman , Osborne , et al. ( 2003 ) suggests that co-training can be helpful for statistical parsing .	Background	train
TNT refers to the HPSG parser ( <CITED HERE> ) , C++ implementation of the two-phase parsing algorithm that performs filtering with a compiled CFG ( phase 1 ) and then executes feature unification ( phase 2 ) .	CompareOrContrast	train
1 Â° The body of a plan can be an action or sequence of actions , a goal or sequence 9 Moore and Paris also note that `` a generation system must maintain the kinds of information outlined by Grosz and Sidner '' ( <CITED HERE> , 203 ) .	Background	train
Surveys and articles on the topic include Lamarche and Retord ( 1996 ) , de Groote and Retord ( 1996 ) , and <CITED HERE> .	Background	train
Another line of research that is correlated with ours is recognition of agreement/disagreement ( Misra and Walker , 2013 ; Yin et al. , 2012 ; Abbott et al. , 2011 ; Andreas et al. , 2012 ; <CITED HERE> ; Hillard et al. , 2003 ) and classification of stances ( Walker et al. , 2012 ; Somasundaran and Wiebe , 2010 ) in online forums .	CompareOrContrast	train
The standard way to handle this problem is to handcraft a finite set of features which provides a sufficient summary of the unbounded history ( Ratnaparkhi , 1999 ; Collins , 1999 ; <CITED HERE> ) .	CompareOrContrast	train
Since the arguments can provide useful semantic information , the SRL is crucial to many natural language processing tasks , such as Question and Answering ( Narayanan and Harabagiu 2004 ) , Information Extraction ( <CITED HERE> ) , and Machine Translation ( Boas 2002 ) .	Background	train
Most approaches rely on VerbNet ( <CITED HERE> ) and FrameNet ( Baker et al. , 1998 ) to provide associations between verbs and semantic roles , that are then mapped onto the current instance , as shown by the systems competing in semantic role labelling competitions ( Carreras and Marquez , 2004 ; Carreras and Marquez , 2005 ) and also ( Gildea and Jurafsky , 2002 ; Pradhan et al. , 2005 ; Shi and Mihalcea , 2005 ) .	Background	train
In previous work ( Bachenko et al. 1986 ) , we described an experimental text-to-speech system that determined prosodic phrasing for the Olive -- Liberman synthesizer ( <CITED HERE> ) .	Background	train
Note that this ensures that greater importance is attributed to longer chunks , as is usual in most EBMT systems ( cfXXX Sato and Nagao 1990 ; Veale and Way 1997 ; <CITED HERE> ) .7 As an example , consider the translation into French of the house collapsed .	Background	train
This approach is taken , for example , in LKB ( Copestake 1992 ) where lexical rules are introduced on a par with phrase structure rules and the parser makes no distinction between lexical and nonlexical rules ( <CITED HERE> , 31 ) .	CompareOrContrast	train
27 <CITED HERE> argue that semi-productivity of lexical rules , which can be understood as a generalization of exceptions to lexical rules , can be integrated with our approach by assigning probabilities to the automaton associated with a particular lexical entry .	Background	train
Results from other systems show that measures of semantic coherence between a student and a system were positively associated with higher learning gain ( <CITED HERE> ) .	Future	train
These automatic transformations are based on linguistic rules ( <CITED HERE> ) .	Uses	train
â¢ Only an automatic evaluation was performed , which relied on having model responses ( Berger and Mittal 2000 ; <CITED HERE> ) .	CompareOrContrast	train
In comparison , the tag set of the Buckwalter Morphological Analyzer ( <CITED HERE> ) used in the PATB has a core POS set of 44 tags ( CORE44 ) before morphological extension .8 Cross-linguistically , a core set containing around 12 tags is often	CompareOrContrast	train
â¢ use of low level knowledge from the speech recognition phase , â¢ use of high level knowledge about the domain in particular and the dialogue task in general , â¢ a `` continue '' facility and an `` auto-loop '' facility as described by Biermann and Krishnaswamy ( 1976 ) , â¢ a `` conditioning '' facility as described by <CITED HERE> , â¢ implementation of new types of paraphrasing , â¢ checking a larger environment in the expectation acquisition algorithm when deciding if an incoming sentence is the same or similar to one already seen , and â¢ examining inter-speaker dialogue patterns .	Future	train
<CITED HERE> present detailed studies on the task of named entity recognition , which discusses and compares different methods on multiple aspects including chunk representation , inference method , utility of non-local features , and integration of external knowledge .	Background	train
mers ( <CITED HERE> ; Porter , 1980 ) demonstrably improve retrieval performance .	Background	train
Cases like this would be covered if the decision-theoretic property of Pareto optimality ( e.g. , <CITED HERE> ) was used as the sole criterion : Formally , an object r E C has a Pareto-optimal combination of Values V iff there is no other x E C such that	Background	train
A formula for the test set perplexity ( <CITED HERE> ) is :13	Background	train
This method follows a traditional Information Retrieval paradigm ( <CITED HERE> ) , where a query is represented by the content terms it contains , and the system retrieves from the corpus a set of documents that best match this query .	Uses	train
Table 1 gives the interpretations of eight adjective-noun combinations discussed in <CITED HERE> and Vendler ( 1968 ) .	Uses	train
The Penn Treebank results reported here for the Markov model approach are at least equivalent to those reported for the Maximum Entropy approach in ( <CITED HERE> ) .	CompareOrContrast	train
<CITED HERE> , by comparison , employ 163 distinct predefined frames .	Background	train
Brockmann and Lapata ( 2003 ) have showed that WordNet-based approaches do not always outperform simple frequency-based models , and a number of techniques have been recently proposed which may offer ideas for refining our current unsupervised approach ( Erk , 2007 ; <CITED HERE> ) .	Future	train
fÎ¸ on demand ( <CITED HERE> ) can pay off here , since only part of fÎ¸ may be needed subsequently . )	Background	train
An approach ( also based on regulation of the succession of rule application ) to the associated problem of spurious ambiguity is given in <CITED HERE> but again , to our knowledge , there is no predictive relation between incremental combinatory processing and the kind of processing phenomena cited in the introduction .	Background	train
This equivalence is doing essentially the same job as Pereira 's pronoun abstraction schema in <CITED HERE> .	CompareOrContrast	train
Finally , we experiment with a method for combining phrase tables proposed in ( <CITED HERE> ; Nakov and Ng , 2012 ) .	Uses	train
Our work is more similar to NLG work that concentrates on structural constraints such as generative poetry ( Greene et al. , 2010 ) ( Colton et al. , 2012 ) ( Jiang and Zhou , 2008 ) or song lyrics ( <CITED HERE> ) ( Ramakrishnan A et al. , 2009 ) , where specified meter or rhyme schemes are enforced .	CompareOrContrast	train
For the cases where retrieval took place , we used F-score ( van Rijsbergen 1979 ; <CITED HERE> ) to determine the similarity between the response from the top-ranked document and the real response ( the formulas for F-score and its contributing factors , recall and precision , appear in Section 4.2 ) .	Uses	train
These translations gave rise to a number of automatically constructed linguistic resources : ( 1 ) the original ( source , target ) phrasal translation pairs , ( 2 ) the marker lexicon , ( 3 ) the gen11 Thanks are due to one of the anonymous reviewers for pointing out that our wEBMT system , seeded with input from multiple translation systems , with a postvalidation process via the Web ( amounting to an n-gram target language model ) , in effect forms a multiengine MT system as described by <CITED HERE> , Frederking et al. ( 1994 ) , and Hogan and Frederking ( 1998 ) .	CompareOrContrast	train
This includes work on generalized expectation ( Mann and McCallum , 2010 ) , posterior regularization ( Ganchev et al. , 2010 ) and constraint driven learning ( Chang et al. , 2007 ; <CITED HERE> ) .	Background	train
The list , a synthesis of a number of relation lists cited in the literature , has been designed to be general , domainindependent ( <CITED HERE>a ) .	Motivation	train
Unlike our approach , those of <CITED HERE> and Hockenmaier , Bierner , and Baldridge ( 2004 ) include a substantial initial correction and clean-up of the Penn-II trees .	CompareOrContrast	train
2The algorithm was implemented by the the authors , following the description in <CITED HERE> .	Uses	train
Our motivation for generation of material for language education exists in work such as Sumita et al. ( 2005 ) and <CITED HERE> , which deal with automatic generation of classic fill in the blank questions .	Motivation	train
In most recent research , NEs ( person , location and organisations ) are extracted from the text and used as a source of evidence to calculate the similarity between documents - see for instance ( <CITED HERE> ; Chen and Martin , 2007 ; Popescu and Magnini , 2007 ; Kalashnikov et al. , 2007 ) .	Background	train
Many researchers use the GIZA + + software package ( <CITED HERE> ) as a black box , selecting IBM Model 4 as a compromise between alignment quality and efficiency .	Background	train
Some works abstract perception via the usage of symbolic logic representations ( <CITED HERE> ; Chen and Mooney , 2011 ; Matuszek et al. , 2012 ; Artzi and Zettlemoyer , 2013 ) , while others choose to employ concepts elicited from psycholinguistic and cognition studies .	Background	train
Over the past decade , researchers at IBM have developed a series of increasingly sophisticated statistical models for machine translation ( Brown et al. , 1988 ; <CITED HERE> ; Brown et al. , 1993a ) .	Background	train
One area of current interest concerns the left-to-right arrangement of premodifying adjectives within an NP ( e.g. , <CITED HERE> ; Malouf 2000 ) .	Background	train
Models of translational equivalence that are ignorant of indirect associations have `` a tendency ... to be confused by collocates '' ( <CITED HERE> ) .	Background	train
Note that although our feature set was drawn primarily from our prior uncertainty detection experiments ( Forbes-Riley and Litman , 2011a ; <CITED HERE> ) , we have also experimented with other features , including state-of-theart acoustic-prosodic features used in the last Interspeech Challenges ( Schuller et al. , 2010 ; Schuller et al. , 2009b ) and made freely available in the openSMILE Toolkit ( Florian et al. , 2010 ) .	Extends	train
For this mention-pair coreference model Ï ( u , v ) , we use the same set of features used in <CITED HERE> .	Uses	train
Compared to the reranking technique in <CITED HERE> , who obtained an LP of 89.9 % and an LR of 89.6 % , our results show a 9 % relative error rate reduction .	CompareOrContrast	train
The paper compares and contrasts the training time needed and performance achieved by our modified learner with two other systems : a standard transformation-based learner , and the ICA system ( <CITED HERE> ) .	CompareOrContrast	train
